carrier,year,arr_flights,arr_del15,arr_cancelled,arr_diverted,onTime
AA,2006,497490.0,114845.0,8079.0,1453.0,0.769151138716
AQ,2006,456.0,127.0,3.0,1.0,0.72149122807
AS,2006,94333.0,23788.0,1100.0,168.0,0.747829497631
B6,2006,108999.0,29168.0,515.0,440.0,0.73240121469
CO,2006,246281.0,64027.0,1449.0,954.0,0.740024606039
DL,2006,375490.0,83154.0,6078.0,891.0,0.778545367387
EV,2006,354374.0,97049.0,9378.0,1646.0,0.726139615209
F9,2006,74886.0,13554.0,755.0,75.0,0.819004887429
FL,2006,182336.0,44844.0,1621.0,346.0,0.754058441558
HA,2006,4077.0,906.0,31.0,6.0,0.777777777778
MQ,2006,307356.0,72522.0,11937.0,850.0,0.764045601843
NW,2006,295938.0,67625.0,3486.0,643.0,0.771489298434
OH,2006,83605.0,26870.0,3138.0,281.0,0.678607738772
OO,2006,297021.0,57583.0,7153.0,80.0,0.806131552988
TZ,2006,14138.0,4387.0,199.0,10.0,0.689701513651
UA,2006,423296.0,99553.0,8958.0,949.0,0.764814692319
US,2006,403203.0,89505.0,4673.0,922.0,0.778015044531
WN,2006,550031.0,102283.0,4877.0,1020.0,0.814041390394
YV,2006,174354.0,40498.0,6069.0,398.0,0.767725432167
